Reviews,Positive,Negative,Neutral
delicious cuisine very very warm service and a great experience  the ambience is amazing and its perfect for all occasions and events  special thanks yo akshay and arun for being excellent in assisting us read more,0.492,0.0,0.508
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
we  of family went for overnight staycation at grand hyatt mumbai and thoroughly enjoyed their hospitality as well as luxurious rooms with very efficient room service as well as other high class amenities viz sauna gym fine dine restaurants etc  and we had amazing food  breakfast at their very famous restaurant  the staff led by their over efficient captain mr noheed shaikh the head chef mr sandeep malsure chef sameer other server mr dhruvit  to say all their staff very courteous helpful and go out of their way to satisfy all your wants definitely im coming back soon for another staycation at this lovely  star hotel the hotel lobby huge  appealing to ones eyes with very efficient airconditioning lends a satisfying pleasure to any customer read more,0.324,0.0,0.676
dear homzar  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall stay special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
house keeping chetan was very courteous and polite and friendly  he has good customer service skills     i would highly recommend this hotel and staff for their polite behaviour thank you grand hyatt read more,0.391,0.0,0.609
dear guest thank you for taking out the time to share this valuable feedback with us as grand hyatt mumbai we strive to deliver a superior service to all our guests and try to exceed our guests expectations we are absolutely delighted to know we could deliver so in your case too we are delighted to know we were able to create a memorable experience for you and the grand hyatt team will be highly motivated by your constructive comments grand hyatt stands with delivering the best of luxury hospitality and service and we are much delighted to know that you enjoyed every bit of it look forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences  read more,0.332,0.0,0.668
amazing service big rooms and a great breakfast   loved my experience at the grand hyatt it has to be one of the best services ive experienced in a hotel  ruby was really helpful with checking in and any enquiries about the room sanket  sarswati at breakfast were really attentive manoj from house keeping was great as sorting out anything we needed from an iron to giving us laundry detergent   we stayed in an  bedroom standard apartment  the room was a bit old however it is absolutely massive really great for families read more,0.284,0.0,0.716
dear guest  thank you very much for taking out the time to post your lovely review at grand hyatt mumbai we strive to ensure and deliver the best of services and create an experience for all our guests it is wonderful to learn we were able to make your overall experience special at grand hyatt mumbai we are grateful for this compliment looking forward to welcoming you back very soon warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.391,0.0,0.609
since both st regis and four seasons where over  a night i decided to book the grand hyatt i wish i didn’t try to save money what a mistake  upon arrival the staff was very helpful and i checked into room     the  room itself was very dated and on the dirty side carpet in the room was extremely stained lamp shades full of dust spider webs and even some mold in the area where tea kettle was   upon leaving the hotel in the afternoon i asked them to do an extra cleaning round   when coming back at  hours regrettably no extra cleaning was performed and when opening the bed i unfortunately found a blood stain upon further review there was a large blood stain on the mattress protector surrounded by sperm marks i decided to call housekeeping but unfortunately i was unable to reach them after talking to the reception they would send “the housekeeping manager up” the gentleman who showed up was not housekeeping manager but most helpful after changing the sheets and mattress protector the housekeeping manager showed up i did show him some of the dirty spots and he would do “an extra thorough cleaning in the morning”   after an okay night sleep i went for breakfast next morning  there was nobody to welcome but found my way to a table the whole area was buzzing with staff so i ordered some pancakes from the made to order menu after  minutes no pancakes so i decided to ask a staff member a status update after  more minutes still no pancakes eventually i went to the pastry station and saw a desperate staff member throwing away a badge of ment to be pancakes it was one multiple wasted badges he apologized to me felt very guilty but was not able to create pancakes no joke regrettably non of the other  staff members standing around doing nothing really cared about the poor kid  upon returning to the hotel housekeeping had definitely cleaned the room but still missed all the spots i pointed out possibly these item where too old to clean but especially the lampshades where unacceptably dirty   to be honest after such a large incident you kind of expect an apology letter or a small cake non of it all during checkout if wasn’t even mentioned a true joke  this must have been the first time i was truly mislead by tripadvisor upon further review i saw a lot of  star reviews from first timers and local indians   this is an average  star hotel with an old interior the good on day  there was somebody who did bake pancakes and they where great and the shower had excellent power…read more,0.12,0.098,0.782
dear guest thank you for taking the time out to share this review with us we regret to learn that we were unable to meet your expectations at your recent stay with us we appreciate all forms of feedback as it always helps us identify the areas we need to work on we take every guest feedback seriously and will certainly ensure to share this with the whole grand hyatt mumbai’s team in order to enhance our guests experience whilst we also understand that this does not completely help to alleviate your experience we have all good intentions of welcoming you back on behalf of the entire team we wish you good health and safety warm regards dietmar kielnhofer  general manager grand hyatt mumbai hotel and residences read more,0.264,0.044,0.692
